date,w_AAPL,w_MSFT,w_GOOG,w_AMZN,w_TSLA
2022-04-04,-0.4749933253487959,0.01712108662256465,0.4121896101997275,-0.06359905117649006,0.0320969266524218
2022-04-05,-0.5174403100658089,0.02567928964840029,0.44758074077228127,-0.0024178613572654727,-0.006881798156243923
2022-04-06,0.27538070495242156,-0.03339687682144602,0.16634938749074984,0.19974757993458322,-0.3251254508007994
2022-04-07,-0.48961696282694334,0.0044360833455044275,0.4255006328251883,-0.06247907412995189,0.01796724687241203
2022-04-08,-0.4612371400910961,0.027851381866861705,0.4213898771421616,-0.07923909174550033,-0.01028250915438023
2022-04-11,-0.3967978246164101,0.05514655472075808,0.42332630329502513,0.011128085944931468,-0.11360123142287519
2022-04-12,-0.31080406800834987,0.05709787868064893,0.3931833006776294,-0.1623067394252653,-0.07660801320810635
2022-04-13,-0.3813792459631647,0.047339181576972186,-0.12049464721324385,0.31142011966091054,-0.13936680558570874
2022-04-14,-0.179652723110392,0.0842593221141335,0.46882547943635,0.004241106768000447,-0.26302136857112407
2022-04-18,-0.1928116282959018,0.0011120213252190112,-0.19816359606738662,0.4148248523331563,-0.1930879019783363
2022-04-19,-0.1300840576926455,-0.045642921661953766,-0.2948534448317988,0.4466688098398235,-0.0827507659737784
2022-04-20,-0.1948153808965326,0.11182584137981147,0.36473915222909664,-0.1065454425012236,-0.22207418299333564
2022-04-21,-0.26573908268156476,0.05645454293508321,0.3892944857226148,-0.18118566216754556,-0.10732622649319161
2022-04-22,-0.2958863914415932,0.06018604047585722,0.42928213663578446,-0.06797485606038194,-0.14667057538638323
2022-04-25,-0.27589457179804305,0.008466286018680807,-0.21490240532907007,0.4160015519057546,-0.08473518494845143
2022-04-26,-0.2803238974933304,-0.06969699223878553,-0.05748141851855658,0.5392038345647887,-0.053293857184538725
2022-04-27,-0.10291765095471223,0.28761000637395584,0.1298883327122726,-0.12363107064216555,-0.35595293931689376
2022-04-28,-0.5171315809075774,0.07022451202349995,-0.049473876350727454,0.20097279695279036,-0.16219723376540474
2022-04-29,-0.2707746643024556,0.011286847503528723,0.3129512423511243,0.1768694981150004,-0.22811774772789103
2022-05-02,-0.4746089251269768,0.06641623556850539,0.28153153089248945,-0.06931242377537078,-0.10813088463665754
2022-05-03,-0.4319108295752738,0.07057169884230613,0.27383020221218485,-0.049965792540815464,-0.17372147682941969
2022-05-04,-0.5310539334752956,0.08186621536508908,0.23678313159572015,-0.07257806418339481,-0.07771865538050042
2022-05-05,-0.22184442585161676,0.07286192362845217,0.3426562633685926,0.049827449047139975,-0.3128099381041984
